time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,i_episode,total_reward
1.8000000000000012,1.9248917908253405,-2.022654879514821,0.0,3.632627277973649,5.013082060679885,0.0,1.3680784098839573,-0.9927743155171586,-18.93697421275545,2.087338367568567,-1.9161123107339466,0.0,427.805295633839,458.6087179365859,466.273542451827,447.2929676453879,1,87.0
1.740000000000001,1.9327443804646067,-1.8887995929536927,0.0,3.7489284594624444,4.696710819000584,0.0,1.7484763034703013,-0.7583830553442112,-17.9813770004733,3.441418571837072,-3.7932038008152413,0.0,447.83261448856445,450.645779233179,450.8551361078663,449.63320593952153,2,84.0
1.8000000000000012,1.2932691311789921,-2.3939299303754686,0.0,2.1341930246860006,0.6593382459454169,0.0,-3.036784647843535,0.47514104324410594,-16.024827846052787,2.4053816149862923,-3.2692287039634005,0.0,527.8928625185847,415.97682792038773,387.90579119624977,463.6927653674713,3,87.0
1.8600000000000012,3.2182775389800424,-1.9356335152693696,0.0,4.049679828762702,1.6499137241314052,0.0,2.38159464101052,-0.3926144357860865,-14.94269951934271,12.933498727437863,-17.822442395669444,0.0,621.7737091233462,369.44336241954977,318.03621339812497,491.30884395866974,4,90.0
1.620000000000001,1.8789046363636974,-0.5912403160652134,0.0,0.005380154706289275,0.40342175130335534,0.0,0.7492325335915079,0.4607151206296731,-15.817833728669902,16.730696666655895,-23.25887112093851,0.0,760.7202468174795,282.0821539766744,189.427931730155,542.0390065653129,5,78.0
1.620000000000001,1.9467798824465508,-0.7010389696396248,0.0,5.128582018052896,2.2399932712117305,0.0,1.6100073021536585,0.11742513085281381,-15.587632054386924,17.215631151239542,-23.0986403591925,0.0,761.1329605328754,273.8097761085811,185.7857440388312,549.6983714184981,6,78.0
1.620000000000001,2.095964118841172,-0.8670360187039147,0.0,0.08718194321293637,1.7980084617249794,0.0,1.7028289188438204,-0.8200332826226383,-15.777426812282808,17.860930834092972,-24.108569251564976,0.0,789.1578219294496,251.5825927686435,154.51460862494227,564.5550769105525,7,78.0
1.620000000000001,2.1457682077379356,-0.8895493481473827,0.0,0.40054914995919244,1.8701152924803637,0.0,1.804701535990641,-1.1273479900094947,-15.494916271477344,17.858048305036363,-24.06754572804149,0.0,784.4957356177395,253.00264725165147,156.98241240197146,564.1844755493744,8,78.0
1.620000000000001,2.2424886558701496,-1.1879051860266707,0.0,0.44482752422280925,1.9636473303677064,0.0,1.9422139774082128,-1.4241519170270152,-15.638137252254335,17.763896857047893,-23.908532610901524,0.0,771.3877517771285,262.951804295637,163.71570612655188,558.023490847176,9,78.0
1.620000000000001,2.2152361160044687,-0.9714856513580543,0.0,6.278275891378142,2.2237859378348013,0.0,1.8844446236215198,-1.047853736336324,-15.46223098524327,17.544805938969617,-23.618714681781714,0.0,769.41731728914,262.12894422341174,160.28055810183145,554.3769127672975,10,78.0
1.680000000000001,2.3695962546702507,-1.0874402590368197,0.0,6.243994499956365,1.3058586771583514,0.0,1.4523647706537224,-0.3342451407175479,-16.52606152885974,17.173670834030403,-23.404636943983675,0.0,750.3379291267503,275.62505712219587,174.98092179731523,541.473848946043,11,81.0
1.680000000000001,2.350632941943924,-0.855046950703193,0.0,5.621373230824865,1.766806024972082,0.0,1.7400565329782796,0.10712032974261956,-16.163675680868078,16.956728985549358,-22.981244945626564,0.0,751.0102700258333,275.1217072375308,167.97131118559398,537.9237272770538,12,81.0
1.680000000000001,2.4501790052104853,-0.7348513513304915,0.0,4.633499350361129,2.4419279551422512,0.0,2.1542719027158044,0.30387004208709345,-15.831803256489376,16.711316376648792,-22.53608051431028,0.0,740.328196883426,281.0193385143789,172.75316607190823,533.5169325281512,13,81.0
1.680000000000001,2.809485820765193,-0.5407024544993272,0.0,3.8735987179346267,3.320854600670966,0.0,2.7590889066395583,0.1654577527098539,-15.71694925341932,16.492071813238038,-22.099043588210808,0.0,696.1438335290061,306.73410334814815,203.45965824928615,517.1215919818167,14,81.0
1.680000000000001,2.2779412162214405,-0.38544209764847853,0.0,2.4442624831360362,4.467440216933822,0.0,1.5595252049511432,0.6879075373669284,-15.65426577467364,17.020440533839786,-23.022384409577256,0.0,864.3712287725527,153.1139223164193,41.23097169566938,595.0044001869275,15,81.0
1.680000000000001,2.628617525328316,-0.5199373737267153,0.0,1.6662408527728338,5.068080265675622,0.0,1.7081572195361563,0.5690284917495521,-15.594879927595874,17.572063313916043,-25.147077703128485,0.0,840.680704212028,186.76762702996962,60.51506097170435,570.6730978692899,16,81.0
1.680000000000001,2.590133121690275,-0.7175364342161972,0.0,0.13417544155003114,1.1485869664827977,0.0,1.9381508500475513,0.018845434636571814,-16.50428811150301,16.938906988771322,-24.051655975768412,0.0,774.160244798458,253.78063875805208,118.18816324890201,534.6062686474573,17,81.0
2.1600000000000015,-8.27835012592528,4.462081485515411,0.0,1.5021192599789384,0.6162788986364331,0.0,-5.460928605804617,2.5709015334722047,-15.8850842011349,18.86566839187041,-27.477240797481535,0.0,881.8663643012695,115.83861487419121,18.003750623957146,604.537436002957,18,105.0
1.680000000000001,2.5738184449877695,-1.1260953475961213,0.0,3.397176724446343,5.289060943615967,0.0,1.84662271271159,-1.0815779090442512,-15.523767980767804,14.930985664604172,-19.443856456988215,0.0,578.0932410416074,372.87354879887783,291.7204697944443,480.7523575274277,19,81.0
