time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.76939521081e-08,7.04472425942e-08,0.00397161813074,6.28275815797,2.13426041995e-05,0.0,-1.73951755955e-06,-1.35859430473e-05,0.132380349371,-0.0277962369616,0.00105786754955,0.0,446.70719147254766,446.7934230490563,448.4910509770713,446.22819029956173
0.12000000000000001,-1.09579010969e-06,-1.7099220087e-05,0.0176007480028,6.28166436297,0.000268494031213,0.0,-5.28034628549e-05,-0.000712374102434,0.321888893403,-0.00386936923522,0.00962985672744,0.0,464.6738016044191,465.34510534401886,462.9837008701155,464.8620901583561
0.18,-1.42093860058e-05,-9.93291988824e-05,0.0449787991091,6.28192105391,0.00107451720743,0.0,-0.000473310751965,-0.00202232645975,0.590612570716,0.016958975306,0.0201236539724,0.0,487.8404175092185,488.6231009890331,486.28974822108,487.8471590842507
0.23999999999999996,-6.59481431586e-05,-0.00024010096116,0.0807740388376,6.28285038876,0.00195288998187,0.0,-0.00134696225921,-0.00258329852641,0.602555705817,0.0123737427359,0.000444555219703,0.0,408.1351204917804,406.3751254317097,409.6988364569322,409.2909397315
0.3,-0.000190362504211,-0.000399589327686,0.121555875663,0.000134182528897,0.00193116847259,0.0,-0.00280033630679,-0.00266404130259,0.756749007428,-0.00335414244964,-0.00202620473951,0.0,453.3286031677965,453.1300615755882,455.7333644005653,454.4745875963623
0.36000000000000004,-0.000403962035328,-0.000556994036934,0.173238372871,4.6505047969e-05,0.00157985250244,0.0,-0.0042930527082,-0.00259957717709,0.9658475995,0.00207874073868,-0.0148934478564,0.0,471.1573231189437,470.1616905744852,470.8355622155446,471.25567024302035
0.4200000000000001,-0.000686367094548,-0.000711817878412,0.231124997872,3.753703683e-06,0.000560803682892,0.0,-0.00503768428034,-0.00255706222433,0.963708495848,-0.00697920273472,-0.0215325672184,0.0,403.02358314885646,402.4231801209108,406.00071784951643,405.1873293424616
0.48000000000000015,-0.000995757498027,-0.00086690624941,0.292810247149,6.28264412407,6.28265554483,0.0,-0.00514950513459,-0.00266333644115,1.09235208057,-0.0136604771187,-0.0121908435907,0.0,447.1302750440083,447.89063978871326,446.45032415513685,445.9050381467086
0.5400000000000001,-0.00128692844239,-0.00104489280569,0.367294289925,6.28134579815,6.28165366668,0.0,-0.00444528281833,-0.0033964060708,1.39013583526,-0.0466765627559,-0.0277217230572,0.0,496.7516131737612,495.61165288513337,498.80317732429336,496.38639926213074
0.6000000000000002,-0.00151795323398,-0.00129415953814,0.452590728164,6.27906442429,6.27948557699,0.0,-0.00308129858657,-0.00515363667207,1.45299974585,-0.0247323095439,-0.0638042511627,0.0,429.2829692385833,426.2094911529922,425.10276736874795,426.97795285351924
0.6600000000000003,-0.00160805385056,-0.00169907129781,0.543861558589,6.27739206392,6.27641265812,0.0,0.000439421546979,-0.00851108338369,1.589179278,-0.0350372465897,-0.0336317190993,0.0,449.17416463172043,451.61228573744296,450.64040615440854,449.8065191742155
0.7200000000000003,-0.00142751247252,-0.00234322464593,0.64314899932,6.27489227279,6.27454258817,0.0,0.00578405517251,-0.013199153479,1.72021088849,-0.0601767639671,-0.0266474278413,0.0,448.93703426025684,449.5030011671951,450.0243983423105,447.98396753344895
0.7800000000000004,-0.000880802047109,-0.00333532700156,0.751037237654,6.27126821258,6.27291125372,0.0,0.0126154587144,-0.0202674230932,1.87581593254,-0.060853094376,-0.0282943062168,0.0,457.640128323475,457.5088805634832,456.59274648100455,456.53630820942686
0.8400000000000004,0.000130771686299,-0.00485435126044,0.869987458253,6.26762518342,6.2713329592,0.0,0.0212939425613,-0.0307950165042,2.08881916977,-0.0604467655359,-0.0225971221234,0.0,474.06337020987536,474.50080552724756,475.1756014480932,475.204386622213
0.9000000000000005,0.00164040503043,-0.00701313421266,0.996817403852,6.26384280379,6.26984812332,0.0,0.0291600388415,-0.0415127219256,2.13874549661,-0.0688049721456,-0.0294367897416,0.0,425.5968177631093,425.01090252722474,425.2192192234292,424.49951815103145
0.9600000000000005,0.00368845490623,-0.00994284325585,1.12931322937,6.25973768241,6.26789188689,0.0,0.0393041939452,-0.0565822528101,2.27750327575,-0.0676574922053,-0.0398384873021,0.0,453.9156399767949,453.0797706012638,453.3835235650124,453.4722726816894
1.0200000000000005,0.00636765509763,-0.0138314384358,1.26869938882,6.25560170973,6.26560157697,0.0,0.0502349940247,-0.0734453339619,2.36850268106,-0.0716126293688,-0.0350318504936,0.0,439.5156798428086,439.9131287931394,438.7688692719599,438.4367256671306
1.0800000000000005,0.0097276498014,-0.0187847704814,1.41242737958,6.25180192039,6.26409751609,0.0,0.0619295167033,-0.0920441030601,2.42230208732,-0.0504893294623,-0.0102568148622,0.0,426.7762571315699,428.8853806736944,426.5419321553897,428.33874937410843
1.1400000000000006,0.0138014770616,-0.0249025204171,1.55874732026,6.24820941163,6.26357608272,0.0,0.0739154541038,-0.112167761445,2.45494725596,-0.0955598146145,-0.00572885803126,0.0,420.6447999904929,421.03683346858406,423.0418827708576,419.13949326960795
1.2000000000000006,0.0186516126776,-0.0323942214098,1.70950845457,6.24228776713,6.26372808655,0.0,0.0877567312087,-0.138152973141,2.57014656885,-0.105837430561,0.0153545215518,0.0,446.82848245091725,448.5439082979901,448.05316419000974,447.20846732467766
